Arn,Name,Description,Behavior,Severity,Implementation_Type,Implementation_Identifier,CreateTime
arn:aws:controlcatalog:::control/df2ta5ytg2zatj1q7y5e09u32,Detect whether unrestricted incoming TCP traffic is allowed,Reduce a server's exposure to risk by detecting whether unrestricted incoming TCP traffic is allowed.,DETECTIVE,HIGH,AWS::Config::ConfigRule,RESTRICTED_INCOMING_TRAFFIC,2018-11-15 01:00:00+01:00
arn:aws:controlcatalog:::control/35hoe56okxxh2ujnsub92wkym,S3 buckets should require requests to use Secure Socket Layer,This AWS control checks whether S3 buckets have policies that require requests to use Secure Socket Layer (SSL).,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,S3.5,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/8tq2qsio9o9nliasf359rvnso,Require an AWS KMS key policy to have a statement that limits creation of AWS KMS grants to AWS services,"This control requires that KMS grants are issued only to AWS services that are integrated with AWS KMS, or to an AWS service principal.",PREVENTIVE,HIGH,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/84umarzxwkkkdirmeyh0i214l,Require an Amazon Redshift cluster to have automatic snapshots configured,"This control checks whether Amazon Redshift clusters have automated snapshots enabled, and set with an automated snapshot retention period greater than or equal to seven (7) days.",PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/nckpwoov47j6vyd0g113oq3l,Checks if an Amazon Elastic File System (Amazon EFS) mount target is not associated with a public subnet,Checks if an Amazon Elastic File System (Amazon EFS) mount target is not associated with a public subnet. The rule is NON-COMPLIANT if the Amazon EFS mount target is associated with a public subnet.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,EFS_MOUNT_TARGET_PUBLIC_ACCESSIBLE,2024-02-07 01:00:00+01:00
arn:aws:controlcatalog:::control/1b4fdyb4pwzlryd3wds4nu754,RDS DB instances should be configured with multiple Availability Zones,This control checks whether high availability is enabled for your RDS DB instances.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,RDS.5,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/c1sc6z21hav5elq5lwfqtbyo2,Checks if AWS App Mesh meshes have tags,"Checks if AWS App Mesh meshes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",DETECTIVE,LOW,AWS::Config::ConfigRule,APPMESH_MESH_TAGGED,2024-10-02 02:00:00+02:00
arn:aws:controlcatalog:::control/atbjyhg3jqfq1rknchzgaw09k,Checks if AWS Elastic Beanstalk environments are configured to send logs to Amazon CloudWatch Logs,Checks if AWS Elastic Beanstalk environments are configured to send logs to Amazon CloudWatch Logs. The rule is NON_COMPLIANT if the value of `StreamLogs` is false.,DETECTIVE,HIGH,AWS::Config::ConfigRule,ELASTIC_BEANSTALK_LOGS_TO_CLOUDWATCH,2022-11-02 01:00:00+01:00
arn:aws:controlcatalog:::control/6sxt4tyln6gry68wrcfsnksuz,ECR private repositories should have tag immutability configured,This control checks whether a private ECR repository has tag immutability configured. This control fails if a private ECR repository has tag immutability disabled. This rule passes if tag immutability is configured and has the value IMMUTABLE,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ECR.2,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/9cn9exuxe72umdmzywv0zy4vx,Require an Amazon OpenSearch Service domain to use a minimum TLS version of TLSv1.2,This control checks whether Amazon OpenSearch Service domains are configured to require HTTPS with a minimum TLS version of TLSv1.2.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-05-19 02:00:00+02:00
arn:aws:controlcatalog:::control/ddvtn3n8ip0x1fbzkffdnl8kh,ElastiCache replication groups of earlier Redis versions should have Redis AUTH enabled,This control checks if ElastiCache replication groups have Redis AUTH enabled. The control fails for an ElastiCache replication group if the Redis version of its nodes is below 6 and 'AuthToken' is not in use.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ElastiCache.6,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/8qwmt73k1pmev15yxadi4hcrg,Require any AWS WAF global web ACL to have a rule or rule group,This control checks whether an AWS WAF Classic global web ACL contains any WAF rules or rule groups.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/87jalnn3gng30z1rma3o3dm9b,Require any Amazon Kinesis data stream to have encryption at rest configured,This control checks whether Amazon Kinesis data streams are encrypted at rest with server-side encryption.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/5jxmjyeig2xg73zcndsz5ynu2,Require an Amazon EC2 instance to use an AWS Nitro instance type when creating from the 'AWS::EC2::LaunchTemplate' resource type,"This control checks whether Amazon EC2 launch templates that specify an EC2 instance type or use attribute based instance selection, specify only AWS Nitro instance types.",PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/6c3hptw3ztk6xuafbxlkl2wys,Checks if Amazon Simple Notification Service (SNS) logging is enabled for the delivery status of notification messages sent to a topic for the endpoints,Checks if Amazon Simple Notification Service (SNS) logging is enabled for the delivery status of notification messages sent to a topic for the endpoints. The rule is NON_COMPLIANT if the delivery status notification for messages is not enabled.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,SNS_TOPIC_MESSAGE_DELIVERY_NOTIFICATION_ENABLED,2022-02-03 01:00:00+01:00
arn:aws:controlcatalog:::control/8k65jh499ji8qa5tb3it7tdi5,Checks if the first deployment stage of AWS CodePipeline performs more than one deployment,Checks if the first deployment stage of AWS CodePipeline performs more than one deployment. Optionally checks if each of the subsequent remaining stages deploy to more than the specified number of deployments (deploymentLimit).,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,CODEPIPELINE_DEPLOYMENT_COUNT_CHECK,2018-11-01 01:00:00+01:00
arn:aws:controlcatalog:::control/66nrimjebtsu7m96scyz4dueu,Require that application load balancer deletion protection is activated,Checks whether an Elastic Load Balancer (ELB) has deletion protection activated.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/ekmem2ri1kf0s2ff4gfcdfkyh,"Checks if the S3 bucket has lock enabled, by default","Checks if the S3 bucket has lock enabled, by default. The rule is NON_COMPLIANT if the lock is not enabled.",DETECTIVE,MEDIUM,AWS::Config::ConfigRule,S3_BUCKET_DEFAULT_LOCK_ENABLED,2020-05-25 02:00:00+02:00
arn:aws:controlcatalog:::control/8sw3pbid15t9cbww8d2w2qwgf,Detect whether public read access to Amazon S3 buckets is allowed,Secure access to data stored in Amazon S3 buckets by detecting whether public read access is allowed.,DETECTIVE,HIGH,AWS::Config::ConfigRule,S3_BUCKET_PUBLIC_READ_PROHIBITED,2018-11-15 01:00:00+01:00
arn:aws:controlcatalog:::control/1tb6nwgfis6ooz83xawjgjvo2,Require an Amazon CloudFront distribution to have a default root object configured,This control checks whether an Amazon CloudFront distribution is configured to return a specific object that is the default root object.,PROACTIVE,CRITICAL,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/53u8m2z255npa7rldrk77vm5z,Disallow the use of Amazon EC2 VM import and export,"This control disallows use of EC2 VM Import/Export APIs that can be used to import and export EC2 instance, snapshot, image and volume data.",PREVENTIVE,MEDIUM,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/4cunuftsudepk2g3243rpctmc,The rule is NON_COMPLIANT if a security configuration is not attached to the cluster or the security configuration does not satisfy the specified rule parameters,The rule is NON_COMPLIANT if a security configuration is not attached to the cluster or the security configuration does not satisfy the specified rule parameters.,DETECTIVE,HIGH,AWS::Config::ConfigRule,EMR_KERBEROS_ENABLED,2019-05-31 02:00:00+02:00
arn:aws:controlcatalog:::control/cirlqrtgjbh19aewgsfr1uqas,Require an Amazon RDS database cluster to have backtracking configured,This control checks whether an Amazon Relational Database Service (RDS) database (DB) cluster has backtracking enabled.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/8uqhm5d86umcugve6ssqhoogh,Require that an Amazon Elastic MapReduce (EMR) security configuration is configured to encrypt data in transit,This control checks whether an Amazon EMR security configuration is configured to require encryption in transit.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-10-05 02:00:00+02:00
arn:aws:controlcatalog:::control/dc149jeebb30fim1ggic29kgq,Checks if Amazon FSx File Systems are protected by a backup plan,Checks if Amazon FSx File Systems are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon FSx File System is not covered by a backup plan.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,FSX_RESOURCES_PROTECTED_BY_BACKUP_PLAN,2021-07-23 02:00:00+02:00
arn:aws:controlcatalog:::control/m210ps7tw47wjifrjjvagrrs,Checks if the S3 bucket configurations for your AWS CloudTrail logs block public access,Checks if the S3 bucket configurations for your AWS CloudTrail logs block public access. The rule is NON_COMPLIANT if at least one S3 bucket for a CloudTrail trail is publicly accessible.,DETECTIVE,CRITICAL,AWS::Config::ConfigRule,CLOUDTRAIL_S3_BUCKET_PUBLIC_ACCESS_PROHIBITED,2024-04-10 02:00:00+02:00
arn:aws:controlcatalog:::control/cu3a2h6bg8a0bjtmzyqmmfa4l,Require Amazon SageMaker notebook instances to have root access disallowed,This control checks whether Amazon SageMaker notebook instances allow root access.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2023-05-19 02:00:00+02:00
arn:aws:controlcatalog:::control/8r4xc9qth87n5ga1wrp2ipzm1,Checks if the SNS topic access policy allows public access,Checks if the SNS topic access policy allows public access. The rule is NON_COMPLIANT if the SNS topic access policy allows public access.,DETECTIVE,HIGH,AWS::Config::ConfigRule,SNS_TOPIC_NO_PUBLIC_ACCESS,2024-09-16 02:00:00+02:00
arn:aws:controlcatalog:::control/3cd5fkbvt163o067yjk6loijb,CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,This AWS control checks whether the GitHub or Bitbucket source repository URL contains either personal access tokens or user name and password.,DETECTIVE,CRITICAL,AWS::SecurityHub::SecurityControl,CodeBuild.1,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/9a45x0gak918b9vxbu3424vv3,OpenSearch domain error logging to CloudWatch Logs should be enabled,This control checks whether Amazon OpenSearch domains are configured to send error logs to CloudWatch Logs. This control fails if error logging to CloudWatch is not enabled for a domain.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,Opensearch.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/3w3roor8ts9qugm8mz7vhxovk,Require an AWS WAFV2 rule group to be non-empty,This control checks whether AWS WAFV2 rule groups contain rules.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/ci9ov6vzjoi6vzkajgademvvo,Detect public write access setting for log archive,Detect public write access setting for Amazon S3 buckets created by AWS Control Tower in the log archive account.,DETECTIVE,CRITICAL,AWS::Config::ConfigRule,S3_BUCKET_PUBLIC_WRITE_PROHIBITED,2018-11-15 01:00:00+01:00
arn:aws:controlcatalog:::control/1xg698zqw921vpmp4o9gn191n,Require an Amazon EKS cluster to be configured with secret encryption using AWS Key Management Service (KMS) keys,This control checks whether Amazon Elastic Kubernetes Service (Amazon EKS) clusters are configured to use Kubernetes secrets encrypted with AWS Key Management Service (KMS) keys.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-10-05 02:00:00+02:00
arn:aws:controlcatalog:::control/eqefzt92pp38u3zt0hkfhfppy,EC2 Auto Scaling groups should use EC2 launch templates,This control checks whether an Amazon EC2 Auto Scaling group is created from an EC2 launch template. This control fails if an Amazon EC2 Auto Scaling group is not created with a launch template or if a launch template is not specified in a mixed instances policy.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,AutoScaling.9,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/4wtwsih93j7vct3k0pyvrs3e2,Disallow policy changes to log archive,Protect the integrity of your log archive by ensuring no policy changes happen to the S3 bucket by any user.,PREVENTIVE,MEDIUM,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-04-30 02:00:00+02:00
arn:aws:controlcatalog:::control/7ac2v5bokcwcqimbm4bjfpti2,Checks if there are any Amazon Relational Database Service (RDS) DB security groups that are not the default DB security group,Checks if there are any Amazon Relational Database Service (RDS) DB security groups that are not the default DB security group. The rule is NON_COMPLIANT is there are any DB security groups that are not the default DB security group.,DETECTIVE,HIGH,AWS::Config::ConfigRule,RDS_DB_SECURITY_GROUP_NOT_ALLOWED,2021-11-18 01:00:00+01:00
arn:aws:controlcatalog:::control/bjfcuphd9b3rk7ab87irreozw,EC2 instances managed by Systems Manager should have an association compliance status of COMPLIANT,This AWS control checks whether the status of the AWS Systems Manager association compliance is COMPLIANT or NON_COMPLIANT after the association is executed on an instance.,DETECTIVE,LOW,AWS::SecurityHub::SecurityControl,SSM.3,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/av3tlsrea3503sv36z4jgefw,Checks if Amazon Inspector V2 EC2 scanning is activated for your single or multi-account environment to detect potential vulnerabilities and network reachability issues on your EC2 instances,Checks if Amazon Inspector V2 EC2 scanning is activated for your single or multi-account environment to detect potential vulnerabilities and network reachability issues on your EC2 instances. The rule is NON_COMPLIANT if EC2 scanning is not activated.,DETECTIVE,HIGH,AWS::Config::ConfigRule,INSPECTOR_EC2_SCAN_ENABLED,2024-03-11 01:00:00+01:00
arn:aws:controlcatalog:::control/6g1vku0mw1b12o9jhuouxj8ia,Disallow changes to AWS Lambda functions set up by AWS Control Tower,Prevent changes to AWS Lambda functions set up by AWS Control Tower.,PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-04-24 02:00:00+02:00
arn:aws:controlcatalog:::control/a8u7xqkneji82jnb18nnx3skz,Require any application load balancer listener default actions to redirect all HTTP requests to HTTPS,This control checks whether HTTP to HTTPS redirection is configured as a default action on HTTP listeners of application load balancers.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/1lkj22wd0hzrj2oxmqgs3ry81,Require an Amazon CloudFront distribution to use custom SSL/TLS certificates,This control checks whether the certificate associated with an Amazon CloudFront distribution is a custom SSL/TLS certificate.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/9g01qrp3nn0uy2muose08dni1,Checks if a recovery point was created for Amazon FSx File Systems,Checks if a recovery point was created for Amazon FSx File Systems. The rule is NON_COMPLIANT if the Amazon FSx File System does not have a corresponding recovery point created within the specified time period.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,FSX_LAST_BACKUP_RECOVERY_POINT_CREATED,2021-07-23 02:00:00+02:00
arn:aws:controlcatalog:::control/89i94u942tzhe1r68qo4oaagq,ECS clusters should use Container Insights,This control checks if ECS clusters use Container Insights. This control fails if Container Insights are not set up for a cluster.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ECS.12,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/d602wz7kcxg00fpu11m9bh2nc,Checks if connections to Amazon RDS for MySQL database instances are configured to use encryption in transit,Checks if connections to Amazon RDS for MySQL database instances are configured to use encryption in transit. The rule is NON_COMPLIANT if the associated database parameter group is not in-sync or if the require_secure_transport parameter is not set to 1.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,RDS_MYSQL_INSTANCE_ENCRYPTED_IN_TRANSIT,2024-09-16 02:00:00+02:00
arn:aws:controlcatalog:::control/1f6fgca7yd4sw5dxos1f52um6,Checks if an origin group is configured for the distribution of at least two origins in the origin group for Amazon CloudFront,Checks if an origin group is configured for the distribution of at least two origins in the origin group for Amazon CloudFront. The rule is NON_COMPLIANT if there are no origin groups for the distribution.,DETECTIVE,LOW,AWS::Config::ConfigRule,CLOUDFRONT_ORIGIN_FAILOVER_ENABLED,2020-07-08 02:00:00+02:00
arn:aws:controlcatalog:::control/3b7ib9mi87kcw90atgx2nboax,Checks if an AWS Key Management Service (AWS KMS) key is configured for an Amazon SageMaker notebook instance,Checks if an AWS Key Management Service (AWS KMS) key is configured for an Amazon SageMaker notebook instance. The rule is NON_COMPLIANT if 'KmsKeyId' is not specified for the SageMaker notebook instance.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,SAGEMAKER_NOTEBOOK_INSTANCE_KMS_KEY_CONFIGURED,2019-07-25 02:00:00+02:00
arn:aws:controlcatalog:::control/9qewfxm4wco89fq9q4ahpslmm,Require that an AWS ELB application or classic load balancer listener is configured with HTTPS or TLS termination,This control checks whether your AWS Elastic Load Balancing (ELB) classic load balancer front-end listeners are configured with HTTPS or SSL protocols.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/5svkm0sfsp3chc06m683cygz,Checks if an AWS CloudTrail multi-Region trail is enabled and logs all write S3 data events for your buckets,Checks if an AWS CloudTrail multi-Region trail is enabled and logs all write S3 data events for your buckets. The rule is NON_COMPLIANT if no multi-Region trail logs all write S3 data event types for all current and future S3 buckets.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,CLOUDTRAIL_ALL_WRITE_S3_DATA_EVENT_CHECK,2024-03-28 01:00:00+01:00
arn:aws:controlcatalog:::control/5kvme4m5d2b4d7if2fs5yg2ui,Disallow actions as a root user,"Secure your AWS accounts by disallowing account access with root user credentials, which are credentials of the account owner and allow unrestricted access to all resources in the account. We recommend that you instead create AWS Identity and Access Management (IAM) users for everyday interaction with your AWS account.",PREVENTIVE,HIGH,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-07-30 02:00:00+02:00
arn:aws:controlcatalog:::control/24izmu4k16gv9tvd7sexnyrfy,Detect whether MFA for the root user is enabled,"Detect whether root user has Multi-Factor Authentication (MFA) enabled, MFA requires an additional authentication code after the user name and password are successful.",DETECTIVE,HIGH,AWS::Config::ConfigRule,ROOT_ACCOUNT_MFA_ENABLED,2018-11-15 01:00:00+01:00
arn:aws:controlcatalog:::control/g5y72s02eroja0dwbvzyf9aa,Checks if your Amazon DynamoDB Accelerator (DAX) cluster has ClusterEndpointEncryptionType set to TLS,Checks if your Amazon DynamoDB Accelerator (DAX) cluster has ClusterEndpointEncryptionType set to TLS. The rule is NON_COMPLIANT if a DAX cluster is not encrypted by transport layer security (TLS).,DETECTIVE,HIGH,AWS::Config::ConfigRule,DAX_TLS_ENDPOINT_ENCRYPTION,2024-01-03 01:00:00+01:00
arn:aws:controlcatalog:::control/8rhshovhd2kxuabdkiooigrzi,Require an AWS Network Firewall firewall to be deployed across multiple Availability Zones,"This control checks whether an AWS Network Firewall firewall is deployed across multiple Availability Zones (AZs), to permit automatic failover between AZs.",PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/58jratszlp2w2z723ywcn6rmo,Require an Amazon EFS file system to encrypt file data at rest using AWS KMS,This control checks whether an Amazon EFS file system is configured to encrypt file data using AWS KMS.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/abe3b0cwfht22n5892z9k21hg,Checks if AWS IoT SiteWise asset models have tags,"Checks if AWS IoT SiteWise asset models have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",DETECTIVE,LOW,AWS::Config::ConfigRule,IOTSITEWISE_ASSET_MODEL_TAGGED,2024-10-01 02:00:00+02:00
arn:aws:controlcatalog:::control/b50ipjd7z7k9p5gxd9h5e04uh,Require any AWS WAF regional web access control list (ACL) to have a rule or rule group,This control checks whether an AWS WAF Classic regional web ACL contains any WAF rules or rule groups.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/1w1btibtrddu9hmsgmdtxsocz,Require an Amazon Redshift cluster to be encrypted,This control checks whether an Amazon Redshift cluster is encrypted.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-07-24 02:00:00+02:00
arn:aws:controlcatalog:::control/48m6j1nkfkold49zkzv8o719r,Checks if AWS IAM SSL/TLS server certificates stored in IAM are expired,Checks if AWS IAM SSL/TLS server certificates stored in IAM are expired. The rule is NON_COMPLIANT if an IAM server certificate is expired.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,IAM_SERVER_CERTIFICATE_EXPIRATION_CHECK,2024-02-07 01:00:00+01:00
arn:aws:controlcatalog:::control/6q5wosluijdv5m9c6wgjou2ud,Require an Amazon EBS volume configured through an Amazon EC2 Auto Scaling launch configuration to encrypt data at rest,This control checks whether Auto Scaling launch configurations with Amazon EBS volume block device mappings enable EBS volume encryption.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-11-27 01:00:00+01:00
arn:aws:controlcatalog:::control/ei0dfiq0hchohgi0crfp0rhz9,Checks if logging is enabled with a valid severity level for AWS DMS replication tasks of a source database,Checks if logging is enabled with a valid severity level for AWS DMS replication tasks of a source database. The rule is NON_COMPLIANT if logging is not enabled or logs for DMS replication tasks of a source database have a severity level that is not valid.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,DMS_REPLICATION_TASK_SOURCEDB_LOGGING,2023-08-17 02:00:00+02:00
arn:aws:controlcatalog:::control/4dv7ovawpzbxhvbzxkkw2raxb,RDS DB clusters should be encrypted at rest,This control checks whether an RDS DB cluster is encrypted at rest. The control fails if an RDS DB cluster isn't encrypted at rest.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,RDS.27,2023-10-05 02:00:00+02:00
arn:aws:controlcatalog:::control/1h5467ejzh5x9hy9vdopyzvv,Checks if an Amazon DynamoDB table have deletion protection set to enabled,Checks if an Amazon DynamoDB table have deletion protection set to enabled. The rule is NON_COMPLIANT if the table have deletion protection set to disabled.,DETECTIVE,HIGH,AWS::Config::ConfigRule,DYNAMODB_TABLE_DELETION_PROTECTION_ENABLED,2023-10-12 02:00:00+02:00
arn:aws:controlcatalog:::control/aeellyghb27pbehyzua1nyena,Detect whether an Amazon EKS endpoint is blocked from public access,Detects whether an Amazon Elastic Kubernetes Service (Amazon EKS) endpoint is publicly accessible. The rule is NON_COMPLIANT if the endpoint is publicly accessible.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,EKS_ENDPOINT_NO_PUBLIC_ACCESS,2021-12-01 01:00:00+01:00
arn:aws:controlcatalog:::control/a0ufrfbomg90qbskltuop262u,Checks whether Amazon DynamoDB table is encrypted with AWS Key Management Service (KMS),Checks whether Amazon DynamoDB table is encrypted with AWS Key Management Service (KMS). The rule is NON_COMPLIANT if Amazon DynamoDB table is not encrypted with AWS KMS.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,DYNAMODB_TABLE_ENCRYPTED_KMS,2020-05-25 02:00:00+02:00
arn:aws:controlcatalog:::control/b198btr6ha8i7mmeqa905brwk,IAM customer managed policies should not allow decryption actions on all KMS keys,Checks whether the default version of IAM customer managed policies allow principals to use the AWS Key Management Service (KMS) decryption actions on all resources. This control fails if kms:Decrypt or kms:ReEncryptFrom actions are allowed on all KMS keys. The control evaluates both attached and unattached customer managed policies. It does not check inline policies or AWS managed policies.,DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,KMS.1,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/4t67zb47ppax648k1wq23xc6e,Checks if AWS App Mesh gateway routes have tags,"Checks if AWS App Mesh gateway routes have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",DETECTIVE,LOW,AWS::Config::ConfigRule,APPMESH_GATEWAY_ROUTE_TAGGED,2024-10-02 02:00:00+02:00
arn:aws:controlcatalog:::control/d29uqtr7w7hi43evwg8q9vqlj,Require Amazon ECS containers to allow read-only access to the root filesystem,This control checks whether Amazon ECS task definitions have been configured to require read-only access to container root filesystems.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/7emygl4xpnv70se1rumkjjx06,Require an Amazon CloudFront distribution to encrypt traffic to custom origins,This control checks whether your Amazon CloudFront distributions are encrypting traffic to custom origins.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/671slktn22aofmruidoa6a5s2,Disallow modification of an AWS Backup resource that AWS Control Tower manages,This control limits creation or modification of AWS Backup resources that AWS Control Tower manages.,PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2024-11-22 01:00:00+01:00
arn:aws:controlcatalog:::control/avr20py8ssve39u69tyuxcanz,Require that an Amazon RDS database instance is configured with multiple Availability Zones,This control checks whether high availability is configured for your Amazon RDS database instances.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/euv1htbp1cymp2tymdxmt0k7r,Checks if Amazon S3 access points have block public access settings enabled,Checks if Amazon S3 access points have block public access settings enabled. The rule is NON_COMPLIANT if block public access settings are not enabled for S3 access points.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,S3_ACCESS_POINT_PUBLIC_ACCESS_BLOCKS,2023-10-12 02:00:00+02:00
arn:aws:controlcatalog:::control/7nrgl2xk5xcda335edesx460o,Require an AWS Glue job to have an associated security configuration,This control checks whether an AWS Glue job has an associated security configuration.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-10-05 02:00:00+02:00
arn:aws:controlcatalog:::control/ddxbnp5bt3mx4fa36q32u0cn5,Checks if Amazon Elastic Compute Cloud (Amazon EC2) instances are in a logically air-gapped vault,Checks if Amazon Elastic Compute Cloud (Amazon EC2) instances are in a logically air-gapped vault. The rule is NON_COMPLIANT if an Amazon EC2 instance is not in a logically air-gapped vault within the specified time period.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,EC2_RESOURCES_IN_LOGICALLY_AIR_GAPPED_VAULT,2024-07-30 02:00:00+02:00
arn:aws:controlcatalog:::control/aha5r73xm13gvf65wsbeeaqb4,"Require that AWS Identity and Access Management (IAM) customer-managed policies do not contain a statement that includes ""*"" in the Action and Resource elements","This control checks whether AWS Identity and Access Management (IAM) customer managed policies do not include ""Effect"": ""Allow"" with ""Action"": ""*"" over ""Resource"": ""*"".",PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/74mhre7s6y2cr789780t9hzvw,Classic Load Balancer listeners should be configured with HTTPS or TLS termination,"This control checks whether your Classic Load Balancer listeners are configured with HTTPS or TLS protocol for front-end (client to load balancer) connections. The control is applicable if a Classic Load Balancer has listeners. If your Classic Load Balancer does not have a listener configured, then the control does not report any findings.",DETECTIVE,MEDIUM,AWS::SecurityHub::SecurityControl,ELB.3,2022-11-28 01:00:00+01:00
